dataset_source,repo_name,candidate_ref,timezone_mode,month,panel_commits,selected_commits,count_delta,panel_latest_commit,selected_latest_commit,count_match,latest_match,count_and_latest_match
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,america_chicago,2025-01,306,306,0,9614e46a65df5037ab770ea4d2b21dc51c8b0018,9614e46a65df5037ab770ea4d2b21dc51c8b0018,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,america_chicago,2025-02,328,328,0,707332fe68a8b569c7fe20e020300a86a882f90c,707332fe68a8b569c7fe20e020300a86a882f90c,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,america_chicago,2025-03,301,301,0,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,america_chicago,2025-04,395,395,0,b660d124f15401d6aa523fe33731f99bf0e4e6aa,b660d124f15401d6aa523fe33731f99bf0e4e6aa,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,america_chicago,2025-05,362,362,0,fd38e66687763b0ff3795de0978304eeed41ec45,fd38e66687763b0ff3795de0978304eeed41ec45,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,america_chicago,2025-06,317,317,0,7f89042c4e35b1e75c5e987c3bac3a2faf98dbef,7f89042c4e35b1e75c5e987c3bac3a2faf98dbef,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,america_chicago,2025-07,336,336,0,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,america_chicago,2025-08,450,450,0,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2024-01,217,217,0,6ab6c1a7bd43de48366f370db059ffac768caf4a,6ab6c1a7bd43de48366f370db059ffac768caf4a,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2024-02,161,161,0,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2024-03,290,290,0,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2024-04,290,290,0,293b45f01cfdbe37abab909b627f9419f8a6a0be,293b45f01cfdbe37abab909b627f9419f8a6a0be,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2024-05,317,317,0,11a86b0fffa84f618b236372f79ebdedd003a168,11a86b0fffa84f618b236372f79ebdedd003a168,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2024-06,321,319,-2,b41a942c42f6608f5b31a227968894f2c2a12ff1,9873861b4d901351d4263a68599b99b6d6407668,0,0,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2024-07,330,331,1,ef51287d70e9efda0138c4589d010f62bd1b519e,d9283ae4c6f322677ff67c2ccc06c7755d98df03,0,0,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2024-08,265,266,1,cf6f7f1782e8b6ee5ec7b47529e5b43eb3634aad,cf6f7f1782e8b6ee5ec7b47529e5b43eb3634aad,0,1,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2024-09,307,307,0,ac6ec10c4a3b2f72ba1b9b898800280c0c6a36a0,ac6ec10c4a3b2f72ba1b9b898800280c0c6a36a0,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2024-10,363,362,-1,a4414862d17f1c2f1a775d2f7bef9d3b79384edb,3061ce2c78cabca5f25feb518e37cfbb988ee67b,0,0,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2024-11,143,144,1,a719d670957ca738f43a2e583516df488a3e9428,a719d670957ca738f43a2e583516df488a3e9428,0,1,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2024-12,338,338,0,5507c2d5eb55e27c52041c0712b6a8abe8509dcd,5507c2d5eb55e27c52041c0712b6a8abe8509dcd,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2025-01,306,306,0,9614e46a65df5037ab770ea4d2b21dc51c8b0018,9614e46a65df5037ab770ea4d2b21dc51c8b0018,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2025-02,328,328,0,707332fe68a8b569c7fe20e020300a86a882f90c,707332fe68a8b569c7fe20e020300a86a882f90c,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2025-03,301,301,0,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2025-04,395,395,0,b660d124f15401d6aa523fe33731f99bf0e4e6aa,b660d124f15401d6aa523fe33731f99bf0e4e6aa,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2025-05,362,362,0,fd38e66687763b0ff3795de0978304eeed41ec45,fd38e66687763b0ff3795de0978304eeed41ec45,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2025-06,317,315,-2,7f89042c4e35b1e75c5e987c3bac3a2faf98dbef,e02030417c43c41272a27e4436fc7729fae271ef,0,0,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2025-07,336,338,2,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,0,1,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,2025-08,450,450,0,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2024-01,217,217,0,6ab6c1a7bd43de48366f370db059ffac768caf4a,6ab6c1a7bd43de48366f370db059ffac768caf4a,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2024-02,161,161,0,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2024-03,290,290,0,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2024-04,290,290,0,293b45f01cfdbe37abab909b627f9419f8a6a0be,293b45f01cfdbe37abab909b627f9419f8a6a0be,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2024-05,317,317,0,11a86b0fffa84f618b236372f79ebdedd003a168,11a86b0fffa84f618b236372f79ebdedd003a168,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2024-06,321,321,0,b41a942c42f6608f5b31a227968894f2c2a12ff1,b41a942c42f6608f5b31a227968894f2c2a12ff1,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2024-07,330,330,0,ef51287d70e9efda0138c4589d010f62bd1b519e,ef51287d70e9efda0138c4589d010f62bd1b519e,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2024-08,265,265,0,cf6f7f1782e8b6ee5ec7b47529e5b43eb3634aad,cf6f7f1782e8b6ee5ec7b47529e5b43eb3634aad,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2024-09,307,307,0,ac6ec10c4a3b2f72ba1b9b898800280c0c6a36a0,ac6ec10c4a3b2f72ba1b9b898800280c0c6a36a0,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2024-10,363,363,0,a4414862d17f1c2f1a775d2f7bef9d3b79384edb,a4414862d17f1c2f1a775d2f7bef9d3b79384edb,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2024-11,143,143,0,a719d670957ca738f43a2e583516df488a3e9428,a719d670957ca738f43a2e583516df488a3e9428,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2024-12,338,338,0,5507c2d5eb55e27c52041c0712b6a8abe8509dcd,5507c2d5eb55e27c52041c0712b6a8abe8509dcd,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2025-01,306,306,0,9614e46a65df5037ab770ea4d2b21dc51c8b0018,9614e46a65df5037ab770ea4d2b21dc51c8b0018,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2025-02,328,328,0,707332fe68a8b569c7fe20e020300a86a882f90c,707332fe68a8b569c7fe20e020300a86a882f90c,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2025-03,301,301,0,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2025-04,395,395,0,b660d124f15401d6aa523fe33731f99bf0e4e6aa,b660d124f15401d6aa523fe33731f99bf0e4e6aa,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2025-05,362,362,0,fd38e66687763b0ff3795de0978304eeed41ec45,fd38e66687763b0ff3795de0978304eeed41ec45,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2025-06,317,317,0,7f89042c4e35b1e75c5e987c3bac3a2faf98dbef,7f89042c4e35b1e75c5e987c3bac3a2faf98dbef,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2025-07,336,336,0,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,2025-08,450,450,0,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2024-01,217,217,0,6ab6c1a7bd43de48366f370db059ffac768caf4a,6ab6c1a7bd43de48366f370db059ffac768caf4a,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2024-02,161,161,0,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2024-03,290,290,0,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2024-04,290,290,0,293b45f01cfdbe37abab909b627f9419f8a6a0be,293b45f01cfdbe37abab909b627f9419f8a6a0be,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2024-05,317,317,0,11a86b0fffa84f618b236372f79ebdedd003a168,11a86b0fffa84f618b236372f79ebdedd003a168,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2024-06,321,317,-4,b41a942c42f6608f5b31a227968894f2c2a12ff1,2db35033562bb59201e907dc59a6538d99e96046,0,0,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2024-07,330,333,3,ef51287d70e9efda0138c4589d010f62bd1b519e,d9283ae4c6f322677ff67c2ccc06c7755d98df03,0,0,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2024-08,265,266,1,cf6f7f1782e8b6ee5ec7b47529e5b43eb3634aad,cf6f7f1782e8b6ee5ec7b47529e5b43eb3634aad,0,1,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2024-09,307,307,0,ac6ec10c4a3b2f72ba1b9b898800280c0c6a36a0,ac6ec10c4a3b2f72ba1b9b898800280c0c6a36a0,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2024-10,363,362,-1,a4414862d17f1c2f1a775d2f7bef9d3b79384edb,3061ce2c78cabca5f25feb518e37cfbb988ee67b,0,0,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2024-11,143,144,1,a719d670957ca738f43a2e583516df488a3e9428,a719d670957ca738f43a2e583516df488a3e9428,0,1,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2024-12,338,338,0,5507c2d5eb55e27c52041c0712b6a8abe8509dcd,5507c2d5eb55e27c52041c0712b6a8abe8509dcd,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2025-01,306,306,0,9614e46a65df5037ab770ea4d2b21dc51c8b0018,9614e46a65df5037ab770ea4d2b21dc51c8b0018,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2025-02,328,328,0,707332fe68a8b569c7fe20e020300a86a882f90c,707332fe68a8b569c7fe20e020300a86a882f90c,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2025-03,301,301,0,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2025-04,395,395,0,b660d124f15401d6aa523fe33731f99bf0e4e6aa,b660d124f15401d6aa523fe33731f99bf0e4e6aa,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2025-05,362,362,0,fd38e66687763b0ff3795de0978304eeed41ec45,fd38e66687763b0ff3795de0978304eeed41ec45,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2025-06,317,313,-4,7f89042c4e35b1e75c5e987c3bac3a2faf98dbef,4d434a94e3f20c03a1ab20cdb7c8e3ffac762692,0,0,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2025-07,336,340,4,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,0,1,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,2025-08,450,450,0,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2024-01,217,217,0,6ab6c1a7bd43de48366f370db059ffac768caf4a,6ab6c1a7bd43de48366f370db059ffac768caf4a,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2024-02,161,161,0,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2024-03,290,290,0,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2024-04,290,290,0,293b45f01cfdbe37abab909b627f9419f8a6a0be,293b45f01cfdbe37abab909b627f9419f8a6a0be,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2024-05,317,317,0,11a86b0fffa84f618b236372f79ebdedd003a168,11a86b0fffa84f618b236372f79ebdedd003a168,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2024-06,321,321,0,b41a942c42f6608f5b31a227968894f2c2a12ff1,b41a942c42f6608f5b31a227968894f2c2a12ff1,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2024-07,330,330,0,ef51287d70e9efda0138c4589d010f62bd1b519e,ef51287d70e9efda0138c4589d010f62bd1b519e,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2024-08,265,265,0,cf6f7f1782e8b6ee5ec7b47529e5b43eb3634aad,cf6f7f1782e8b6ee5ec7b47529e5b43eb3634aad,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2024-09,307,307,0,ac6ec10c4a3b2f72ba1b9b898800280c0c6a36a0,ac6ec10c4a3b2f72ba1b9b898800280c0c6a36a0,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2024-10,363,363,0,a4414862d17f1c2f1a775d2f7bef9d3b79384edb,a4414862d17f1c2f1a775d2f7bef9d3b79384edb,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2024-11,143,143,0,a719d670957ca738f43a2e583516df488a3e9428,a719d670957ca738f43a2e583516df488a3e9428,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2024-12,338,338,0,5507c2d5eb55e27c52041c0712b6a8abe8509dcd,5507c2d5eb55e27c52041c0712b6a8abe8509dcd,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2025-01,306,306,0,9614e46a65df5037ab770ea4d2b21dc51c8b0018,9614e46a65df5037ab770ea4d2b21dc51c8b0018,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2025-02,328,328,0,707332fe68a8b569c7fe20e020300a86a882f90c,707332fe68a8b569c7fe20e020300a86a882f90c,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2025-03,301,301,0,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2025-04,395,395,0,b660d124f15401d6aa523fe33731f99bf0e4e6aa,b660d124f15401d6aa523fe33731f99bf0e4e6aa,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2025-05,362,362,0,fd38e66687763b0ff3795de0978304eeed41ec45,fd38e66687763b0ff3795de0978304eeed41ec45,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2025-06,317,317,0,7f89042c4e35b1e75c5e987c3bac3a2faf98dbef,7f89042c4e35b1e75c5e987c3bac3a2faf98dbef,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2025-07,336,336,0,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,2025-08,450,450,0,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2024-01,217,217,0,6ab6c1a7bd43de48366f370db059ffac768caf4a,6ab6c1a7bd43de48366f370db059ffac768caf4a,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2024-02,161,161,0,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2024-03,290,290,0,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2024-04,290,290,0,293b45f01cfdbe37abab909b627f9419f8a6a0be,293b45f01cfdbe37abab909b627f9419f8a6a0be,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2024-05,317,317,0,11a86b0fffa84f618b236372f79ebdedd003a168,11a86b0fffa84f618b236372f79ebdedd003a168,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2024-06,321,319,-2,b41a942c42f6608f5b31a227968894f2c2a12ff1,9873861b4d901351d4263a68599b99b6d6407668,0,0,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2024-07,330,331,1,ef51287d70e9efda0138c4589d010f62bd1b519e,d9283ae4c6f322677ff67c2ccc06c7755d98df03,0,0,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2024-08,265,266,1,cf6f7f1782e8b6ee5ec7b47529e5b43eb3634aad,cf6f7f1782e8b6ee5ec7b47529e5b43eb3634aad,0,1,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2024-09,307,307,0,ac6ec10c4a3b2f72ba1b9b898800280c0c6a36a0,ac6ec10c4a3b2f72ba1b9b898800280c0c6a36a0,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2024-10,363,362,-1,a4414862d17f1c2f1a775d2f7bef9d3b79384edb,3061ce2c78cabca5f25feb518e37cfbb988ee67b,0,0,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2024-11,143,144,1,a719d670957ca738f43a2e583516df488a3e9428,a719d670957ca738f43a2e583516df488a3e9428,0,1,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2024-12,338,338,0,5507c2d5eb55e27c52041c0712b6a8abe8509dcd,5507c2d5eb55e27c52041c0712b6a8abe8509dcd,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2025-01,306,306,0,9614e46a65df5037ab770ea4d2b21dc51c8b0018,9614e46a65df5037ab770ea4d2b21dc51c8b0018,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2025-02,328,328,0,707332fe68a8b569c7fe20e020300a86a882f90c,707332fe68a8b569c7fe20e020300a86a882f90c,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2025-03,301,301,0,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2025-04,395,395,0,b660d124f15401d6aa523fe33731f99bf0e4e6aa,b660d124f15401d6aa523fe33731f99bf0e4e6aa,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2025-05,362,362,0,fd38e66687763b0ff3795de0978304eeed41ec45,fd38e66687763b0ff3795de0978304eeed41ec45,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2025-06,317,315,-2,7f89042c4e35b1e75c5e987c3bac3a2faf98dbef,e02030417c43c41272a27e4436fc7729fae271ef,0,0,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2025-07,336,338,2,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,0,1,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,2025-08,450,450,0,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/bip-891-increase-cap-GOLD-styETH,original_local,2024-01,217,217,0,6ab6c1a7bd43de48366f370db059ffac768caf4a,6ab6c1a7bd43de48366f370db059ffac768caf4a,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/bip-891-increase-cap-GOLD-styETH,original_local,2024-02,161,161,0,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/bip-891-increase-cap-GOLD-styETH,original_local,2024-03,290,290,0,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,1,1,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/bip-891-increase-cap-GOLD-styETH,original_local,2024-04,290,290,0,293b45f01cfdbe37abab909b627f9419f8a6a0be,293b45f01cfdbe37abab909b627f9419f8a6a0be,1,1,1
